,DISTRICT,CO,CDS,EDP 365,Current Expense ADA,Current Expense per ADA,LEA Type,enroll12,NumTstTakr,NumCurrElaBenchmark,NumPreElaBenchmark,TotNumElaBenchmark,PctElaBenchmark,NumCurrMathBenchmark,NumPreMathBenchmark,TotNumMathBenchmark,PctMathBenchmark,TotNumBothBenchmark,PctBothBenchmark,Category,Teachers,Staff Support,Administrators,Counselors,Librarians,Student Support,Improvement Percentage,Predicted PctBothBenchmark
84,Newark Unified,1,61234,"62,368,434","5,691.30",10959,Unified                  ,462,203,167,0,167,82.27,107,0,107,52.71,102,50.25,0,199.29,220.65,22.65,5.0,1.0,16.5,1.5537248255548541,51.03074672484131
85,Newman-Crows Landing Unified,50,73601,"33,439,764","3,020.90",11069,Unified                  ,206,96,59,1,60,62.5,24,0,24,25.0,21,21.88,0,137.41,162.09,13.0,6.0,0.0,7.0,1.4394619489942815,22.19495427443995
86,Oak Park Unified,56,73874,"42,742,731","4,411.30",9689,Unified                  ,422,239,228,2,230,96.23,205,2,207,86.61,206,86.19,0,185.14,153.82,12.0,9.0,0.0,9.97,1.5170985874359948,87.4975872725111
87,Oakdale Joint Unified,50,75564,"53,189,757","4,997.10",10644,Unified                  ,433,136,113,0,113,83.09,79,0,79,58.09,74,54.41,0,223.21,208.89,17.75,4.9,0.0,10.9,1.4065328010136202,55.1752944970315
88,Ojai Unified,56,72520,"25,211,825","2,294.90",10986,Unified                  ,201,72,66,0,66,91.67,46,0,46,63.89,46,63.89,0,106.46,127.87,11.1,2.0,0.0,9.32,1.3420751650379843,64.74745182294278
89,Orange Unified,30,66621,"276,530,475","24,783.00",11158,Unified                  ,2310,2097,1194,1,1195,56.99,732,1,733,34.95,694,33.09,0,67.4,18.66,5.0,4.3,2.4,4.55,1.2750220923071998,33.51190481034446
90,Orcutt Union Elementary,42,69260,"41,606,835","4,261.40",9764,Elementary               ,138,76,63,0,63,82.89,47,0,47,61.84,44,57.89,0,208.81,172.83,13.9,2.75,0.0,10.0,1.357673836229003,58.67595738379297
91,Orland Joint Unified,11,75481,"22,937,549","2,122.10",10809,Unified                  ,161,40,21,0,21,52.5,11,0,11,27.5,9,22.5,0,109.85,89.8,7.0,1.0,0.0,4.0,1.2577134002852821,22.78298551506419
92,Palos Verdes Peninsula Unified,19,64865,"121,294,765","10,985.30",11042,Unified                  ,1094,588,568,1,569,96.77,531,1,532,90.48,525,89.29,0,454.82,513.94,27.8,20.0,0.0,39.4,1.1682584737058355,90.33313799117194
93,Paradise Unified,4,61531,"36,369,662","3,229.40",11262,Unified                  ,303,55,48,0,48,87.27,42,0,42,76.36,41,74.55,0,183.06,216.97,18.74,5.8,1.0,8.0,1.4292749772496656,75.61552449553963
94,Paso Robles Joint Unified,40,75457,"72,838,174","6,477.30",11245,Unified                  ,573,208,164,0,164,78.85,120,0,120,57.69,113,54.33,0,281.3,333.77,20.43,8.4,1.0,26.5,1.0510957935690513,54.90106034464607
95,Patterson Joint Unified,50,71217,"66,020,120","5,780.40",11421,Unified                  ,491,197,131,0,131,66.5,78,0,78,39.59,70,35.53,0,270.31,230.85,18.95,7.75,0.0,16.0,1.6372524479572221,36.111715794759206
96,Pierce Joint Unified,6,61614,"14,251,191","1,416.90",10058,Unified                  ,107,36,20,0,20,55.56,14,0,14,38.89,13,36.11,0,66.47,73.41,6.0,1.0,0.0,0.0,1.281608422103322,36.572788801221506
97,Placentia-Yorba Linda Unified,30,66647,"260,592,744","24,617.60",10586,Unified                  ,2159,1061,955,4,959,90.39,853,4,857,80.77,832,78.42,0,975.21,820.81,69.2,19.4,0.0,80.2,58.27083913026466,124.11599204595355
98,Pleasanton Unified,1,75101,"152,605,107","14,415.20",10586,Unified                  ,1259,822,787,8,795,96.72,737,8,745,90.63,736,89.54,0,618.38,450.84,38.7,28.3,0.0,57.0,1.611766674652106,90.9831758804835
99,Porterville Unified,54,75523,"147,210,720","12,833.60",11471,Unified                  ,1715,542,332,0,332,61.25,206,0,206,38.01,187,34.5,0,589.72,589.68,49.17,22.36,0.0,13.52,1.1863843732389485,34.90930260876743
100,Poway Unified,37,68296,"358,868,032","35,144.50",10211,Unified                  ,2735,1835,1723,8,1731,94.33,1536,6,1542,84.03,1512,82.4,0,1429.69,1310.55,80.9,45.26,0.0,191.6,12.213739825775336,92.46412161643889
101,Ramona City Unified,37,68304,"55,859,760","5,225.90",10689,Unified                  ,442,167,144,0,144,86.23,97,0,97,58.08,94,56.29,0,210.41,268.48,14.0,4.6,0.0,13.7,1.1691201750759848,56.94809774655027
102,Redlands Unified,36,67843,"209,224,844","19,912.40",10507,Unified                  ,1866,1504,1064,1,1065,70.81,749,2,751,49.93,709,47.14,0,868.08,648.29,50.6,26.2,0.0,39.7,44.54459407075913,68.13832164495585
103,Redondo Beach Unified,19,75341,"93,558,221","9,525.50",9822,Unified                  ,713,280,253,1,254,90.71,220,1,221,78.93,215,76.79,0,391.62,396.02,21.5,19.0,0.0,22.61,10.990527797829625,85.22962629595338
104,Ripon Unified,39,68650,"28,583,426","3,077.40",9288,Unified                  ,412,124,102,1,103,83.06,71,1,72,58.06,70,56.45,0,178.7,117.24,11.01,3.0,0.0,12.55,1.3763904936247646,57.226972433651184
105,Rocklin Unified,31,75085,"109,473,336","11,406.80",9597,Unified                  ,1123,629,576,1,577,91.73,478,1,479,76.15,472,75.04,0,593.41,453.34,40.93,13.0,0.0,40.78,0.795818234331305,75.63718200304221
106,Saddleback Valley Unified,30,73635,"270,129,024","26,232.20",10298,Unified                  ,2464,1084,984,6,990,91.33,842,6,848,78.23,826,76.2,0,1051.72,841.55,66.5,21.0,0.0,77.86,7.83840559934027,82.17286506669728
